source_document,page_or_section,shunt_type,ligation_strategy,clinical_notes,instruction_snippet
Saphenous-Vein-Sparing.pdf,Page 67,2,,,"60
by the blood coming from a saphenous vein. 
There is no refluxing N1 → N2 connection nor 
any footward flow in the saphenous veins fed by 
physiologically draining veins (see shunt type 2, 
Sect. 3"
Saphenous-Vein-Sparing.pdf,Page 67,2,,,"3.7.3	
Open Bypassing Shunt 
(Franceschi: Open Vicarious 
Shunt)
An open bypassing shunt bypasses venous 
obstructions, 
like 
thrombotic 
or 
post-­
thrombotic changes or functional muscle com-
N2 –"
Saphenous-Vein-Sparing.pdf,Page 69,2,,,"3.8	
Closed Shunts
A closed shunt (see Sect. 3.7.1) is a recirculation 
with reflux point and re-entry point, where the 
blood returns to its origin. In shunt types 1 and 3, 
the saphenous veins are "
Saphenous-Vein-Sparing.pdf,Page 69,1,,,"3.8.1	
Shunt Type 1
This recirculation always affects the saphenous 
veins (N2). Its source is the deep system 
(N1 → N2). The saphenous vein is filled directly 
from the sapheno-femoral or sapheno-p"
Saphenous-Vein-Sparing.pdf,Page 70,1,,,"type 1 is that the drainage 
from the saphenous vein occurs irrespective of 
additional tributary drainage (see also Sect. 
3.8.3). Shunt type 1"
Saphenous-Vein-Sparing.pdf,Page 70,2,,,"type 1 is that blood is transported directly from 
the dilated saphenous vein by a dilated perfo-
rating vein back into the deep system: Deep 
vein (N1) – Junction/perforator to saphenous 
vein (N2) –"
Saphenous-Vein-Sparing.pdf,Page 70,2,,,"type 2 (see Fig. 3.19a). The recircu-
lation occurs only in the superficial veins. 
Consequently, a smaller volume of blood is 
involved in the recirculation. The general clinical"
Saphenous-Vein-Sparing.pdf,Page 70,2,,,"type 2 open shunts, the system is not over-
loaded by volume because of the absence of a 
recirculation circuit. However, the tributary may 
also be cosmetically bothering. This is because it 
In Summ"
Saphenous-Vein-Sparing.pdf,Page 70,1,,,"63
become refluxive and varicose. An important 
point defining shunt type 1 is that the drainage 
from the saphenous vein occurs irrespective of 
additional tributary drainage (see also Sect."
Saphenous-Vein-Sparing.pdf,Page 70,1+2,,,"3.8.3). Shunt type 1 with refluxive tributaries is 
called shunt type 1 + 2. A pure shunt type 1 with 
no refluxive tributaries is rare.
The most important criterion for the shunt 
type 1 is that bloo"
